Date,Open ,Close ,High,Low,Volume,ADS_Index,Mkt-RF,SMB,HML,RF,Returns,SP500,Open_Close,High_Low,HLOC,EWM_OpenClose
2016-06-14,711.16,718.49,720.81,708.5,18038,0.025654715819773,-0.19,0.27,-0.71,0.001,-0.0037260386672153356,2075.32,714.825,714.655,714.74,718.4198385683002
2016-06-15,721.03,716.4,722.56,713.35,20330,0.0388658833069898,-0.11,0.25,-0.05,0.001,0.005660363464742983,2071.5,718.7149999999999,717.9549999999999,718.3349999999999,718.5182257122001
2016-06-16,712.0,718.45,718.45,705.3,22004,0.0509722741642071,0.24,-0.34,-0.4,0.001,-0.007031444477011843,2077.99,715.225,711.875,713.55,717.4204838081334
2016-06-17,716.5,704.25,719.0,699.18,45374,0.061975462658063,-0.3,-0.1,0.94,0.001,0.004539843042558621,2071.22,710.375,709.0899999999999,709.7325,715.0719892054224
2016-06-20,708.33,714.73,721.31,708.33,26484,0.0888368160401148,0.71,0.61,-0.01,0.001,-0.015619384617084137,2083.25,711.53,714.8199999999999,713.175,713.8913261369482
2016-06-21,717.0,714.0,718.4,712.72,15266,0.0962971319919093,0.21,-0.62,0.5,0.001,0.010729467710266925,2088.9,715.5,715.56,715.53,714.4275507579655
2016-06-22,717.35,712.58,717.35,707.56,15760,0.103059730493212,-0.2,-0.31,0.08,0.001,0.0025317666370075374,2085.45,714.965,712.4549999999999,713.7099999999999,714.6067005053103
2016-06-23,717.5,720.25,725.0,712.5,21115,0.109125490925279,1.45,0.5,0.43,0.001,-0.007319098673510409,2113.32,718.875,718.75,718.8125,716.0294670035403
2016-06-24,712.0,699.0,712.53,687.01,54390,0.114495202055333,-3.7,0.15,-1.14,0.001,0.016026309809137693,2037.41,705.5,699.77,702.635,712.5196446690269
2016-06-27,696.78,692.0,696.82,682.11,40815,0.126492389273888,-2.07,-0.95,-0.67,0.001,-0.032542412156615116,2000.54,694.39,689.465,691.9275,706.4764297793513
2016-06-28,697.5,707.5,708.0,697.0,29834,0.128874157031829,1.76,-0.39,0.14,0.001,-0.01093289697791713,2036.09,702.5,702.5,702.5,705.1509531862342
2016-06-29,708.5,716.6,719.5,708.5,22257,0.130294792001125,1.8,0.27,-0.07,0.001,0.023712836194073078,2070.77,712.55,714.0,713.275,707.6173021241561
2016-06-30,719.0,714.52,719.37,712.54,21944,0.130754478915465,1.42,0.35,0.45,0.001,0.010747831414944658,2098.86,716.76,715.9549999999999,716.3575,710.6648680827708
2016-07-01,714.52,725.67,728.0,714.52,21397,0.130253277550696,0.24,0.53,-0.4,0.001,2.79747354103767e-05,2102.95,720.095,721.26,720.6775,713.8082453885139
2016-07-05,723.5,728.14,729.96,719.61,17607,0.123739659624684,-0.85,-0.62,-1.36,0.001,0.013959843828879387,2088.55,725.8199999999999,724.7850000000001,725.3025,717.8121635923426
2016-07-06,721.71,737.6,738.37,721.4,29720,0.120896223072974,0.62,0.17,-0.13,0.001,0.0033292317775961634,2099.73,729.655,729.885,729.77,721.7597757282284
2016-07-07,740.0,735.22,740.0,731.63,22374,0.117559248899826,0.02,0.35,-0.2,0.001,0.012976840860103584,2097.9,737.61,735.815,736.7125000000001,727.043183818819
2016-07-08,735.01,745.25,746.1,735.01,25810,0.113728303178466,1.6,0.89,0.34,0.001,-0.0014109242808449498,2129.9,740.13,740.5550000000001,740.3425,731.4054558792127
2016-07-11,747.35,753.7,755.9,747.0,23270,0.0993977562846069,0.43,0.6,0.26,0.001,0.012466588376249964,2137.16,750.5250000000001,751.45,750.9875,737.7786372528085
2016-07-12,754.88,747.5,760.0,740.33,43966,0.0939156810943502,0.75,0.62,0.99,0.001,0.01062971332347648,2152.14,751.19,750.165,750.6775,742.2490915018724
2016-07-13,748.3,742.0,756.87,741.25,33363,0.0881355017109244,-0.05,-0.53,0.51,0.001,-0.007416870078587881,2152.43,745.15,749.06,747.105,743.2160610012484
2016-07-14,746.17,741.0,749.04,739.02,18232,0.0820564665029249,0.51,-0.46,0.44,0.001,-0.007485770379235468,2163.75,743.585,744.03,743.8075,743.3390406674989
2016-07-15,741.2,734.5,746.55,732.1,24026,0.0756777849769315,-0.05,0.3,0.0,0.001,-0.0019274356581545362,2161.74,737.85,739.325,738.5875000000001,741.5093604449994
2016-07-18,739.88,735.05,741.6,728.72,22704,0.054667853297912,0.25,-0.02,-0.12,0.001,-0.007801548326207146,2166.89,737.4649999999999,735.1600000000001,736.3125,740.1612402966663
2016-07-19,733.5,740.5,743.33,731.21,17649,0.0469476762304424,-0.22,-0.62,0.05,0.001,0.000856270136988477,2163.78,737.0,737.27,737.135,739.1074935311109
2016-07-20,743.44,746.3,746.85,740.7,16682,0.0388565909620278,0.48,0.45,-0.87,0.001,0.0052574001532204925,2173.02,744.87,743.7750000000001,744.3225,741.0283290207407
2016-07-21,746.0,744.39,749.47,742.79,17559,0.0303935453603068,-0.38,-0.05,-0.01,0.001,0.0077675231735003895,2165.17,745.1949999999999,746.13,745.6625,742.4172193471604
2016-07-22,746.5,744.1,751.28,743.53,17477,0.0215574389246844,0.48,0.23,-0.08,0.001,-0.0017313402723136881,2175.03,745.3,747.405,746.3525,743.3781462314403
2016-07-25,746.8,740.0,748.5,735.35,21108,-0.00720180162262131,-0.27,-0.02,-0.24,0.001,0.0005774456530295075,2168.48,743.4,741.925,742.6624999999999,743.3854308209602
2016-07-26,741.34,738.99,743.13,732.75,19833,-0.0175120245582867,0.13,0.57,0.54,0.001,-0.007073261156713763,2169.18,740.165,737.94,739.0525,742.3119538806402
2016-07-27,739.26,742.5,744.0,733.86,20736,-0.0281706106638929,-0.14,0.58,-0.44,0.001,-0.005450064964432632,2166.58,740.88,738.9300000000001,739.905,741.8346359204268
2016-07-28,744.0,768.25,788.2,717.35,61820,-0.0391789459393393,0.18,-0.41,-0.34,0.001,0.001467072645271888,2170.06,756.125,752.7750000000001,754.45,746.5980906136178
2016-07-29,752.61,758.06,771.0,737.94,54270,-0.0505384618645084,0.17,-0.02,0.04,0.001,0.021407137767704486,2173.6,755.335,754.47,754.9025,749.5103937424119
2016-08-01,754.0,767.0,770.5,754.0,27618,-0.0867708442583646,-0.16,0.18,-0.87,0.001,0.008204268630315356,2170.84,760.5,762.25,761.375,753.1735958282746
2016-08-02,766.3,758.01,769.3,757.02,27995,-0.0992291065502654,-0.7,-0.58,0.17,0.001,0.01169970709606536,2157.03,762.155,763.16,762.6575,756.1673972188498
2016-08-03,759.4,754.5,762.1,752.25,28497,-0.11107258761368,0.45,0.46,0.83,0.001,-0.009369798668032968,2163.79,756.95,757.175,757.0625,756.4282648125666
2016-08-04,755.62,761.47,765.0,750.35,25737,-0.122302827527508,0.05,0.08,-0.34,0.001,-0.007840488250937859,2164.25,758.5450000000001,757.675,758.1099999999999,757.1338432083778
2016-08-05,762.9,765.5,768.47,761.0,21309,-0.132921286627223,0.93,0.43,0.86,0.001,0.008090270347584857,2182.87,764.2,764.735,764.4675,759.4892288055853
2016-08-08,766.7,766.56,769.79,761.01,15731,-0.160978608934187,-0.06,0.02,0.57,0.001,0.006824929062601348,2180.89,766.63,765.4,766.015,761.8694858703902
2016-08-09,768.0,768.0,772.6,766.51,14118,-0.169029377466558,0.05,-0.02,-0.32,0.001,0.0007569368969422522,2181.74,768.0,769.5550000000001,768.7775,763.9129905802602
2016-08-10,770.39,768.01,772.1,766.19,12077,-0.176481658624963,-0.29,-0.45,-0.13,0.001,0.0022803244090721536,2175.49,769.2,769.145,769.1724999999999,765.6753270535069
