,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3,Y_close,PL1,PL2,PL3
123,981.4,979.8871854655223,-1.0,-1.0,988846.0,-1.0,0.0,956362.0,-1.0,-1.0,1078540.0,983.42,-1212.0,0.0,3240.0
124,983.75,983.800785980888,1.0,1.0,998410.0,1.0,1.0,965926.0,-1.0,-1.0,1088302.0,999.69,9564.0,9564.0,9762.0
125,1001.8,995.1490443532717,-1.0,-1.0,1006288.0,-1.0,-1.0,973804.0,-1.0,-1.0,1081690.0,988.67,7878.0,7878.0,-6612.0
126,989.13,987.6724497292993,-1.0,-1.0,1007176.0,-1.0,0.0,973804.0,-1.0,-1.0,1081078.0,987.65,888.0,0.0,-612.0
127,991.19,991.0243772342579,-1.0,-1.0,1016650.0,-1.0,0.0,973804.0,-1.0,-1.0,1073728.0,975.4,9474.0,0.0,-7350.0
128,978.0,979.9394442366048,1.0,1.0,1011700.0,1.0,1.0,968854.0,-1.0,-1.0,1070338.0,969.75,-4950.0,-4950.0,-3390.0
129,971.0,973.748021512497,1.0,1.0,1012900.0,1.0,0.0,968854.0,-1.0,-1.0,1072288.0,973.0,1200.0,0.0,1950.0
130,973.69,972.7935659424443,-1.0,-1.0,1018984.0,-1.0,-1.0,974938.0,-1.0,-1.0,1066618.0,963.55,6084.0,6084.0,-5670.0
131,964.0,968.8730772911352,1.0,1.0,1011934.0,1.0,1.0,967888.0,-1.0,-1.0,1059838.0,952.25,-7050.0,-7050.0,-6780.0
132,954.0,959.5078466803802,1.0,1.0,1002394.0,1.0,0.0,967888.0,-1.0,-1.0,1051348.0,938.1,-9540.0,0.0,-8490.0
133,943.87,945.548313075779,1.0,1.0,999322.0,1.0,0.0,967888.0,-1.0,-1.0,1051738.0,938.75,-3072.0,0.0,390.0
134,943.39,943.6381891921367,1.0,1.0,1004008.0,1.0,0.0,967888.0,-1.0,-1.0,1059208.0,951.2,4686.0,0.0,7470.0
135,952.0,952.3687680944813,1.0,1.0,1006468.0,1.0,0.0,967888.0,-1.0,-1.0,1062148.0,956.1,2460.0,0.0,2940.0
136,960.75,958.4179374541935,-1.0,-1.0,1006108.0,-1.0,-1.0,967528.0,-1.0,-1.0,1065298.0,961.35,-360.0,-360.0,3150.0
