Y,Y_rf,Y_close
1593.0,1574.1360676368893,1568.5
1570.01,1571.7463880125,1572.49
1574.84,1576.8668736688132,1580.95
1594.3,1579.327389809534,1598.0
1594.01,1591.9280242413665,1592.0
1599.0,1596.859318869514,1607.0
1611.0,1599.0721441544183,1608.69
1611.01,1609.7183828239447,1603.45
1608.5,1607.9281457884233,1600.35
1601.54,1598.7703426086273,1573.8
1578.5,1576.2772037610869,1588.0
1587.0,1583.3154521787797,1583.91
1587.75,1588.6132375397408,1573.15
1585.85,1583.398113170029,1585.61
1592.28,1592.6029347981964,1581.01
1564.92,1582.0011190106804,1600.17
1603.49,1591.0533946669543,1605.17
1605.0,1599.7771393080097,1609.15
1599.68,1601.409855636606,1612.55
1622.0,1608.986735157194,1623.21
1629.0,1621.3332179207619,1631.0
1631.21,1627.9138772276435,1641.0
1649.02,1638.358469952962,1666.66
1674.0,1658.2911997720707,1697.7
1703.08,1685.6314315181105,1695.75
1702.39,1702.40262966099,1687.0
1670.01,1683.6971693308246,1682.0
1683.01,1685.8724977112665,1689.12
1695.0,1689.2187828565338,1702.54
1701.43,1696.474988143052,1705.75
1704.0,1704.0361815133974,1725.5
1720.05,1714.4470379111497,1715.2
1710.0,1712.160703085146,1716.0
1700.16,1710.348071112363,1735.99
1743.0,1723.1064319636312,1753.0
1759.76,1743.804774510034,1724.79
1733.0,1726.7122310012426,1716.89
1702.85,1717.2561992052986,1662.0
1668.0,1666.3953438871815,1692.5
1674.21,1673.8371643255168,1664.5
1671.4,1674.8665481853177,1703.0
1721.0,1698.9552220784958,1700.5
1689.25,1700.872312247519,1713.9
1724.0,1707.0621000849865,1695.99
1710.0,1710.7970432867028,1696.35
1703.0,1700.912902151606,1711.69
1719.99,1711.8335587280703,1739.88
1742.0,1729.6481940464907,1730.0
1725.0,1727.8935485005604,1757.05
1760.0,1743.79066261187,1799.75
1803.5,1782.1910449727727,1812.5
1820.0,1800.6595116716405,1800.6
1812.0,1804.1242936704825,1849.55
1848.0,1826.4612788866343,1841.1
1839.2,1835.5440700262566,1820.1
1825.29,1825.690407790873,1813.7
1810.41,1814.3097787855438,1818.5
1822.0,1834.4076444511782,1828.01
1832.0,1836.0451267444798,1831.05
1836.0,1834.3379421902675,1866.5
1869.01,1848.5626913588228,1814.81
1823.01,1836.2776224852944,1783.0
1787.01,1792.0189300688962,1787.88
1787.91,1777.2591386375402,1799.3
1799.0,1793.1572315069482,1834.6
1841.0,1821.0729816643425,1821.1
1830.0,1828.423683400536,1847.46
1852.5,1838.5550482165725,1863.0
1866.0,1859.4716400050963,1883.8
1886.31,1876.0069634284628,1898.0
1892.0,1893.1990506357765,1887.8
1883.91,1885.7862666026344,1902.75
1911.1,1904.259460895122,1924.0
1924.0,1913.0824777513415,1883.0
1898.9,1902.1736927755126,1885.5
1890.0,1890.9174062986035,1881.0
1890.16,1880.3146918475986,1876.5
1882.0,1884.4307153491018,1871.0
1880.1,1880.2063505395306,1907.87
1907.18,1899.4933904862219,1903.0
1912.0,1911.0387499026322,1905.0
1914.0,1909.17492369831,1932.3
1933.0,1925.6926101429071,1935.01
1945.0,1935.8617725682172,1999.75
2000.12,1981.6962062967093,2002.15
